Place,County/ies[3][note 3],Population[1],White[1],Other[1][note 1],Asian[1],Black or AfricanAmerican[1],Native American[1][note 2],Hispanic or Latino(of any race)[2]
Muscoy,San Bernardino,"11,573",52.20%,41.80%,3.20%,1.70%,1.00%,82.80%
Olancha,Inyo,245,52.20%,47.80%,0.00%,0.00%,0.00%,38.80%
Planada,Merced,"4,366",52.30%,44.20%,1.20%,1.60%,0.80%,96.20%
Highland,San Bernardino,"52,777",52.40%,29.50%,7.10%,10.10%,0.90%,47.90%
Courtland,Sacramento,484,52.50%,44.60%,2.90%,0.00%,0.00%,80.80%
Millbrae,San Mateo,"21,275",52.60%,5.80%,39.20%,1.90%,0.40%,13.70%
Ontario,San Bernardino,"165,120",52.60%,33.90%,4.60%,7.60%,1.40%,66.50%
Lakewood,Los Angeles,"79,994",52.80%,21.40%,16.10%,7.80%,1.90%,30.40%
San Bruno,San Mateo,"40,677",52.90%,14.60%,26.30%,2.40%,3.80%,28.00%
Santa Paula,Ventura,"29,248",53.00%,45.50%,0.60%,0.20%,0.70%,78.80%
Blairsden,Plumas,32,53.10%,46.90%,0.00%,0.00%,0.00%,53.10%
Covina,Los Angeles,"47,662",53.20%,30.70%,10.10%,5.00%,0.90%,51.70%
Rollingwood,Contra Costa,"2,790",53.30%,17.00%,25.20%,3.00%,1.50%,57.80%
Ashland,Alameda,"22,106",53.40%,11.90%,16.40%,17.00%,1.30%,46.70%
Buena Park,Orange,"80,214",53.40%,14.90%,26.10%,4.50%,1.10%,37.70%
Caruthers,Fresno,"2,914",53.40%,39.50%,1.60%,3.20%,2.30%,78.30%
East Rancho Dominguez,Los Angeles,"13,891",53.40%,29.50%,0.80%,15.80%,0.60%,80.70%
San Ramon,Contra Costa,"69,241",53.40%,7.80%,35.90%,2.30%,0.50%,9.90%
West Park,Fresno,"1,070",53.50%,39.90%,2.10%,4.60%,0.00%,81.20%
Fullerton,Orange,"134,079",53.60%,19.30%,23.30%,3.00%,0.70%,33.10%
Irvine,Orange,"205,057",53.70%,6.20%,37.50%,1.80%,0.70%,9.40%
Oasis,Riverside,"6,160",53.70%,42.90%,1.30%,1.20%,0.80%,96.80%
San Pablo,Contra Costa,"29,224",53.70%,14.40%,15.90%,14.70%,1.30%,55.80%
Stevinson,Merced,132,53.80%,46.20%,0.00%,0.00%,0.00%,46.20%
Mayflower Village,Los Angeles,"5,673",53.90%,14.80%,30.50%,0.60%,0.20%,26.40%
Orange Cove,Fresno,"8,889",53.90%,44.10%,0.00%,2.00%,0.00%,95.80%
Tracy,San Joaquin,"81,115",53.90%,22.50%,16.00%,6.30%,1.40%,38.00%
Crescent City,Del Norte,"7,673",54.00%,26.90%,3.90%,9.90%,5.30%,27.70%
Fresno,Fresno,"489,922",54.00%,25.00%,12.40%,7.50%,1.10%,46.40%
