ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
7,"Two Or More",2018,"2018",86891,14283.999999999998,"Napa County, CA","05000US06055","napa-county-ca"
7,"Two Or More",2018,"2018",48654,46455,"Nevada County, CA","05000US06057","nevada-county-ca"
7,"Two Or More",2018,"2018",97298,11348,"Orange County, CA","05000US06059","orange-county-ca"
7,"Two Or More",2018,"2018",93651,27031.000000000004,"Placer County, CA","05000US06061","placer-county-ca"
7,"Two Or More",2018,"2018",71999,8992,"Riverside County, CA","05000US06065","riverside-county-ca"
7,"Two Or More",2018,"2018",59732,5952,"Sacramento County, CA","05000US06067","sacramento-county-ca"
7,"Two Or More",2018,"2018",71482,8056.999999999999,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
7,"Two Or More",2018,"2018",89046,8548,"San Diego County, CA","05000US06073","san-diego-county-ca"
7,"Two Or More",2018,"2018",120378,11232,"San Francisco County, CA","05000US06075","san-francisco-county-ca"
7,"Two Or More",2018,"2018",53857,6997.000000000001,"San Joaquin County, CA","05000US06077","san-joaquin-county-ca"
7,"Two Or More",2018,"2018",64409,44805,"San Luis Obispo County, CA","05000US06079","san-luis-obispo-county-ca"
7,"Two Or More",2018,"2018",140966,29515.999999999996,"San Mateo County, CA","05000US06081","san-mateo-county-ca"
7,"Two Or More",2018,"2018",77734,15440.000000000002,"Santa Barbara County, CA","05000US06083","santa-barbara-county-ca"
7,"Two Or More",2018,"2018",116104,15212,"Santa Clara County, CA","05000US06085","santa-clara-county-ca"
7,"Two Or More",2018,"2018",50098,10403,"Santa Cruz County, CA","05000US06087","santa-cruz-county-ca"
7,"Two Or More",2018,"2018",60286,35249,"Shasta County, CA","05000US06089","shasta-county-ca"
7,"Two Or More",2018,"2018",92392,29484.000000000004,"Solano County, CA","05000US06095","solano-county-ca"
7,"Two Or More",2018,"2018",94253,36043,"Sonoma County, CA","05000US06097","sonoma-county-ca"
7,"Two Or More",2018,"2018",41588,17688,"Stanislaus County, CA","05000US06099","stanislaus-county-ca"
7,"Two Or More",2018,"2018",44038,16265,"Sutter County, CA","05000US06101","sutter-county-ca"
7,"Two Or More",2018,"2018",60645,28495,"Tulare County, CA","05000US06107","tulare-county-ca"
7,"Two Or More",2018,"2018",91516,5677,"Ventura County, CA","05000US06111","ventura-county-ca"
7,"Two Or More",2018,"2018",90141,63792.00000000001,"Yolo County, CA","05000US06113","yolo-county-ca"
8,"White Non-Hispanic",2018,"2018",116140,3674,"Alameda County, CA","05000US06001","alameda-county-ca"
8,"White Non-Hispanic",2018,"2018",55382,4956,"Butte County, CA","05000US06007","butte-county-ca"
8,"White Non-Hispanic",2018,"2018",111611,3453,"Contra Costa County, CA","05000US06013","contra-costa-county-ca"
8,"White Non-Hispanic",2018,"2018",80288,6345,"El Dorado County, CA","05000US06017","el-dorado-county-ca"
8,"White Non-Hispanic",2018,"2018",64245,3085,"Fresno County, CA","05000US06019","fresno-county-ca"
8,"White Non-Hispanic",2018,"2018",50284,3962,"Humboldt County, CA","05000US06023","humboldt-county-ca"
8,"White Non-Hispanic",2018,"2018",70493,18403,"Imperial County, CA","05000US06025","imperial-county-ca"
8,"White Non-Hispanic",2018,"2018",63132,4211,"Kern County, CA","05000US06029","kern-county-ca"
8,"White Non-Hispanic",2018,"2018",73860,7160,"Kings County, CA","05000US06031","kings-county-ca"
8,"White Non-Hispanic",2018,"2018",51392,7181.999999999999,"Lake County, CA","05000US06033","lake-county-ca"
